objective,loss_type,train_loss,eval_loss,reward_accuracy,reward_margin,reward_chosen,reward_rejected
DPO (sigmoid link),sigmoid,0.6735184605916341,0.674170732498169,0.5394736842105263,0.3924662361019536,-0.9671791325274267,-1.3596453598063243
IPO (squared link),ipo,24.33907023111979,25.167177200317383,0.4276315789473684,1.1773772490651984,-22.609472986898925,-23.78685047751979
SLiC (hinge margin),hinge,0.9131213887532552,0.8729709982872009,0.5460526315789473,0.2729405207853568,-0.6401647356779951,-0.9131052443071416
